price_band,mean_actual,mean_predicted,mean_abs_error,mean_percentage_error,median_percentage_error,count
 < $500k,146385.08097670725,462222.95662113815,355302.17710461887,5701.097633454374,1974.0938927620437,7556
$500k - $750k,621667.0215112693,607910.2075885066,126339.01310521693,20.36213560475592,15.021161401163582,4215
$750k - $1M,858589.9280029542,799509.4831727019,169807.50930662177,19.77875494159759,14.873752419078311,3385
$1M - $1.5M,1222369.81678902,1088137.6057987195,274841.46363093937,22.34630958897203,18.887325822447906,3133
$1.5M - $2M,1707457.874748828,1478092.2126646542,399667.16539351054,23.438113780087868,20.235558875682408,1493
> $2M,2197365.0303541315,1773602.0315293504,565782.5507438426,25.70396055602021,22.32218188097173,593
